A,label
0.66,stress
1.01,stress
1.37,stress
1.72,stress
2.06,stress
2.4,stress
2.79,stress
3.24,stress
3.8,stress
4.42,stress
5.06,stress
5.66,stress
6.2,stress
6.68,stress
7.15,stress
7.68,stress
8.31,stress
9.14,stress
10.09,stress
11.04,stress
11.88,stress
12.56,stress
13.14,stress
13.76,stress
14.65,stress
15.96,stress
17.91,stress
20.32,stress
22.9,stress
25.38,stress
27.58,stress
29.57,stress
31.68,stress
34.32,stress
37.81,stress
42.54,stress
48.15,stress
54.1,stress
59.83,stress
64.97,stress
69.58,stress
74.14,stress
79.34,stress
85.71,stress
93.76,stress
103.0,stress
112.62,stress
121.73,stress
129.77,stress
136.75,stress
143.3,stress
150.75,stress
157.77,stress
166.64,stress
177.95,stress
191.79,stress
206.97,stress
220.57,stress
228.25,stress
225.36,stress
208.53,stress
176.87,stress
132.76,stress
80.05,stress
23.07,stress
35.58,stress
71.43,stress
101.35,stress
125.5,stress
144.38,stress
158.69,stress
169.15,stress
176.37,stress
180.75,stress
182.57,stress
182.07,stress
179.51,stress
175.23,stress
169.65,stress
163.18,stress
156.15,stress
148.81,stress
141.3,stress
133.69,stress
126.02,stress
118.33,stress
110.69,stress
103.16,stress
95.8,stress
88.68,stress
81.83,stress
75.25,stress
68.95,stress
62.95,stress
57.25,stress
51.86,stress
46.78,stress
42.03,stress
37.59,stress
33.45,stress
29.61,stress
26.07,stress
22.81,stress
19.83,stress
17.11,stress
14.67,stress
12.48,stress
10.54,stress
8.83,stress
7.35,stress
6.07,stress
4.97,stress
4.05,stress
3.27,stress
2.62,stress
2.09,stress
1.65,stress
1.3,stress
1.01,stress
0.79,stress
0.61,stress
0.52,stress
0.57,stress
0.62,stress
0.67,stress
0.73,stress
0.79,stress
0.86,stress
0.93,stress
1.01,stress
1.1,stress
1.2,stress
1.31,stress
1.44,stress
1.58,stress
1.73,stress
1.91,stress
2.1,stress
2.32,stress
2.56,stress
2.83,stress
3.12,stress
3.44,stress
3.8,stress
4.18,stress
4.6,stress
5.06,stress
5.56,stress
6.09,stress
6.66,stress
7.28,stress
7.93,stress
8.63,stress
9.38,stress
10.17,stress
11.0,stress
11.89,stress
12.81,stress
13.78,stress
14.82,stress
15.92,stress
17.08,stress
18.31,stress
19.57,stress
20.86,stress
22.11,stress
23.26,stress
24.2,stress
24.84,stress
25.03,stress
24.66,stress
23.64,stress
21.9,stress
19.43,stress
16.28,stress
12.5,stress
8.26,stress
3.77,stress
1.16,stress
2.64,stress
4.08,stress
5.49,stress
6.95,stress
8.58,stress
10.4,stress
12.38,stress
14.35,stress
16.16,stress
17.74,stress
19.25,stress
20.66,stress
22.19,stress
24.07,stress
26.38,stress
28.94,stress
31.41,stress
33.37,stress
34.65,stress
35.43,stress
35.77,stress
36.08,stress
36.82,stress
38.17,stress
39.85,stress
41.26,stress
41.7,stress
40.75,stress
38.58,stress
35.21,stress
31.1,stress
26.75,stress
22.27,stress
17.1,stress
10.05,stress
2.85,stress
6.05,stress
9.33,stress
12.78,stress
15.98,stress
18.22,stress
19.0,stress
18.39,stress
16.63,stress
14.37,stress
12.23,stress
10.49,stress
9.0,stress
7.32,stress
5.05,stress
2.01,stress
3.57,stress
12.36,stress
20.93,stress
29.06,stress
36.47,stress
42.89,stress
48.13,stress
52.1,stress
54.83,stress
56.41,stress
56.97,stress
56.73,stress
55.94,stress
54.93,stress
53.95,stress
53.16,stress
52.57,stress
52.04,stress
51.41,stress
50.53,stress
49.33,stress
47.83,stress
46.06,stress
44.09,stress
41.92,stress
39.53,stress
36.89,stress
33.99,stress
30.8,stress
27.34,stress
23.61,stress
19.63,stress
15.43,stress
11.04,stress
6.47,stress
1.74,stress
2.1,stress
13.1,stress
23.37,stress
32.76,stress
41.16,stress
48.38,stress
54.16,stress
58.27,stress
60.59,stress
61.32,stress
60.93,stress
60.06,stress
59.28,stress
58.9,stress
58.92,stress
59.08,stress
59.06,stress
58.59,stress
57.58,stress
56.04,stress
54.06,stress
51.73,stress
49.15,stress
46.43,stress
43.68,stress
40.94,stress
38.15,stress
35.16,stress
31.8,stress
28.0,stress
23.82,stress
19.44,stress
15.07,stress
10.79,stress
6.56,stress
2.21,stress
7.81,stress
18.33,stress
28.02,stress
36.75,stress
44.36,stress
50.64,stress
55.38,stress
58.5,stress
60.06,stress
60.4,stress
60.0,stress
59.35,stress
58.8,stress
58.44,stress
58.14,stress
57.66,stress
56.78,stress
55.38,stress
53.46,stress
51.13,stress
48.58,stress
45.98,stress
43.47,stress
41.07,stress
38.72,stress
36.22,stress
33.37,stress
30.02,stress
26.18,stress
22.01,stress
17.76,stress
13.62,stress
9.64,stress
5.73,stress
1.71,stress
7.89,stress
17.98,stress
27.19,stress
35.5,stress
42.85,stress
49.12,stress
54.07,stress
57.52,stress
59.4,stress
59.87,stress
59.27,stress
58.08,stress
56.77,stress
55.73,stress
55.15,stress
54.95,stress
54.85,stress
54.43,stress
53.32,stress
51.34,stress
48.6,stress
45.43,stress
42.31,stress
39.59,stress
37.4,stress
35.56,stress
33.67,stress
31.29,stress
28.13,stress
24.2,stress
19.78,stress
15.32,stress
11.18,stress
7.45,stress
3.92,stress
7.55,stress
17.43,stress
26.55,stress
34.78,stress
41.91,stress
47.73,stress
52.0,stress
54.61,stress
55.68,stress
55.54,stress
54.72,stress
53.74,stress
53.03,stress
52.78,stress
52.97,stress
53.33,stress
53.54,stress
53.24,stress
52.2,stress
50.34,stress
47.77,stress
44.74,stress
41.56,stress
38.47,stress
35.6,stress
32.91,stress
30.2,stress
27.29,stress
24.07,stress
20.61,stress
17.06,stress
13.61,stress
10.27,stress
6.93,stress
3.34,stress
8.43,stress
18.01,stress
26.83,stress
34.73,stress
41.57,stress
47.16,stress
51.35,stress
54.05,stress
55.33,stress
55.4,stress
54.68,stress
53.68,stress
52.88,stress
52.58,stress
52.88,stress
53.54,stress
54.11,stress
54.06,stress
53.0,stress
50.84,stress
47.84,stress
44.46,stress
41.17,stress
38.25,stress
35.7,stress
33.29,stress
30.71,stress
27.71,stress
24.24,stress
20.43,stress
16.5,stress
12.63,stress
8.88,stress
5.17,stress
1.29,stress
5.81,stress
15.54,stress
24.3,stress
32.12,stress
38.99,stress
44.79,stress
49.32,stress
52.43,stress
54.13,stress
54.62,stress
54.21,stress
53.26,stress
52.09,stress
50.99,stress
50.16,stress
49.74,stress
49.73,stress
49.96,stress
50.08,stress
49.73,stress
48.59,stress
46.59,stress
43.91,stress
40.86,stress
37.79,stress
34.91,stress
32.17,stress
29.36,stress
26.22,stress
22.55,stress
18.4,stress
14.03,stress
9.8,stress
6.0,stress
2.72,stress
4.01,stress
17.15,stress
30.03,stress
42.41,stress
54.12,stress
65.02,stress
75.0,stress
84.01,stress
92.09,stress
99.39,stress
106.11,stress
112.43,stress
118.42,stress
124.1,stress
129.52,stress
134.95,stress
140.89,stress
147.92,stress
156.4,stress
166.3,stress
177.16,stress
188.26,stress
198.99,stress
209.11,stress
218.85,stress
228.78,stress
239.48,stress
251.36,stress
264.62,stress
279.29,stress
295.23,stress
311.92,stress
328.15,stress
342.04,stress
351.38,stress
354.41,stress
350.47,stress
340.25,stress
325.33,stress
307.44,stress
287.65,stress
266.26,stress
243.15,stress
218.48,stress
