A,label
0.66,stress
1.01,stress
1.37,stress
1.72,stress
2.06,stress
2.4,stress
2.79,stress
3.24,stress
3.8,stress
4.42,stress
5.06,stress
5.66,stress
6.2,stress
6.68,stress
7.15,stress
7.68,stress
8.31,stress
9.14,stress
10.09,stress
11.04,stress
11.88,stress
12.56,stress
13.14,stress
13.76,stress
14.65,stress
15.96,stress
17.91,stress
20.32,stress
22.9,stress
25.38,stress
27.58,stress
29.57,stress
31.68,stress
34.32,stress
37.81,stress
42.54,stress
48.15,stress
54.1,stress
59.83,stress
64.97,stress
69.58,stress
74.14,stress
79.34,stress
85.71,stress
93.76,stress
103.0,stress
112.62,stress
121.73,stress
129.77,stress
136.75,stress
143.3,stress
150.75,stress
157.77,stress
166.64,stress
177.95,stress
191.79,stress
206.97,stress
220.57,stress
228.25,stress
225.36,stress
208.53,stress
176.87,stress
132.76,stress
80.05,stress
23.07,stress
36.71,stress
72.66,stress
102.7,stress
126.97,stress
145.98,stress
160.45,stress
171.07,stress
178.48,stress
183.07,stress
185.13,stress
184.89,stress
182.61,stress
178.66,stress
173.44,stress
167.36,stress
160.76,stress
153.9,stress
146.92,stress
139.89,stress
132.84,stress
125.83,stress
118.92,stress
112.17,stress
105.67,stress
99.46,stress
93.57,stress
88.02,stress
82.83,stress
78.0,stress
73.53,stress
69.44,stress
65.74,stress
62.43,stress
59.53,stress
57.04,stress
54.93,stress
53.2,stress
51.8,stress
50.69,stress
49.76,stress
48.91,stress
47.97,stress
46.77,stress
45.13,stress
42.89,stress
39.91,stress
36.14,stress
31.56,stress
26.2,stress
20.22,stress
13.79,stress
7.17,stress
0.63,stress
2.07,stress
4.75,stress
7.48,stress
10.29,stress
13.15,stress
16.04,stress
18.97,stress
21.94,stress
25.0,stress
28.16,stress
31.48,stress
35.0,stress
38.78,stress
42.75,stress
46.86,stress
51.08,stress
55.41,stress
59.87,stress
64.47,stress
69.26,stress
74.28,stress
79.65,stress
85.22,stress
90.89,stress
96.61,stress
102.35,stress
108.07,stress
113.78,stress
119.46,stress
125.13,stress
130.83,stress
136.28,stress
141.26,stress
145.56,stress
148.96,stress
151.18,stress
151.89,stress
150.6,stress
146.64,stress
141.35,stress
135.24,stress
128.64,stress
121.78,stress
114.83,stress
107.96,stress
101.25,stress
94.84,stress
88.82,stress
83.33,stress
78.19,stress
73.26,stress
68.5,stress
63.84,stress
59.26,stress
54.75,stress
50.37,stress
46.16,stress
42.24,stress
38.5,stress
34.89,stress
31.39,stress
28.02,stress
24.81,stress
21.8,stress
19.01,stress
16.51,stress
14.37,stress
12.48,stress
10.78,stress
9.25,stress
7.84,stress
6.55,stress
5.35,stress
4.23,stress
3.18,stress
2.19,stress
1.17,stress
5.59,stress
9.96,stress
12.42,stress
12.55,stress
10.42,stress
6.71,stress
2.51,stress
1.31,stress
2.9,stress
3.56,stress
3.74,stress
4.58,stress
7.34,stress
12.82,stress
20.92,stress
30.74,stress
40.83,stress
49.71,stress
56.1,stress
59.14,stress
58.44,stress
54.19,stress
47.15,stress
38.48,stress
29.39,stress
20.83,stress
13.45,stress
7.72,stress
4.23,stress
3.65,stress
6.28,stress
11.48,stress
17.5,stress
21.82,stress
22.3,stress
18.31,stress
11.12,stress
3.47,stress
6.49,stress
13.35,stress
19.18,stress
22.83,stress
23.87,stress
22.4,stress
18.89,stress
14.1,stress
8.96,stress
4.33,stress
0.62,stress
10.87,stress
22.54,stress
32.4,stress
39.51,stress
43.76,stress
45.91,stress
47.02,stress
47.74,stress
48.07,stress
47.69,stress
46.71,stress
46.3,stress
48.64,stress
55.95,stress
69.2,stress
87.19,stress
106.64,stress
123.34,stress
133.67,stress
135.88,stress
130.29,stress
118.75,stress
103.7,stress
87.35,stress
71.43,stress
57.34,stress
46.39,stress
39.83,stress
38.37,stress
41.56,stress
47.31,stress
52.03,stress
51.69,stress
43.46,stress
27.23,stress
6.13,stress
7.59,stress
37.6,stress
69.11,stress
98.28,stress
123.14,stress
143.26,stress
158.62,stress
168.88,stress
173.28,stress
171.14,stress
162.5,stress
148.41,stress
130.44,stress
109.89,stress
87.2,stress
61.87,stress
33.23,stress
1.27,stress
2.06,stress
9.79,stress
15.28,stress
18.6,stress
20.81,stress
23.4,stress
27.31,stress
32.42,stress
37.68,stress
41.71,stress
43.5,stress
42.77,stress
39.99,stress
36.13,stress
32.4,stress
30.03,stress
30.05,stress
33.17,stress
39.48,stress
48.51,stress
59.23,stress
70.23,stress
79.98,stress
86.96,stress
89.79,stress
87.39,stress
79.24,stress
65.66,stress
48.05,stress
28.57,stress
9.61,stress
7.95,stress
23.66,stress
33.32,stress
37.93,stress
38.53,stress
36.0,stress
31.18,stress
25.21,stress
19.54,stress
15.55,stress
14.02,stress
14.76,stress
16.93,stress
19.48,stress
21.74,stress
23.6,stress
25.4,stress
27.46,stress
29.85,stress
32.3,stress
34.4,stress
35.84,stress
36.44,stress
36.21,stress
35.23,stress
33.57,stress
31.22,stress
28.16,stress
24.28,stress
19.42,stress
13.61,stress
6.94,stress
6.77,stress
18.06,stress
28.47,stress
37.46,stress
44.15,stress
47.7,stress
47.81,stress
44.96,stress
40.26,stress
35.1,stress
30.66,stress
27.55,stress
25.84,stress
25.04,stress
24.45,stress
23.41,stress
21.6,stress
19.2,stress
16.76,stress
14.95,stress
14.11,stress
13.87,stress
13.2,stress
10.89,stress
6.13,stress
6.46,stress
13.02,stress
14.6,stress
10.81,stress
3.69,stress
1.35,stress
13.56,stress
28.86,stress
42.85,stress
52.31,stress
56.59,stress
57.36,stress
57.24,stress
58.21,stress
60.76,stress
64.26,stress
67.95,stress
71.69,stress
75.97,stress
81.39,stress
87.81,stress
94.04,stress
98.21,stress
98.56,stress
94.14,stress
85.05,stress
72.39,stress
57.88,stress
43.45,stress
30.71,stress
20.64,stress
13.34,stress
8.18,stress
4.22,stress
0.68,stress
5.17,stress
11.49,stress
19.08,stress
28.21,stress
37.19,stress
43.01,stress
42.68,stress
34.45,stress
18.38,stress
7.82,stress
30.13,stress
42.83,stress
44.33,stress
36.11,stress
22.14,stress
7.5,stress
5.58,stress
19.35,stress
34.58,stress
48.56,stress
58.91,stress
63.84,stress
62.52,stress
55.34,stress
43.77,stress
30.04,stress
16.48,stress
4.97,stress
4.45,stress
10.18,stress
14.12,stress
15.16,stress
12.86,stress
7.51,stress
2.25,stress
5.19,stress
4.99,stress
1.51,stress
12.83,stress
33.25,stress
48.85,stress
58.78,stress
63.63,stress
64.99,stress
64.63,stress
63.98,stress
63.9,stress
64.77,stress
66.71,stress
69.51,stress
72.53,stress
74.66,stress
74.62,stress
71.39,stress
64.64,stress
54.93,stress
43.46,stress
31.64,stress
20.83,stress
12.06,stress
5.96,stress
2.69,stress
1.7,stress
1.76,stress
1.2,stress
7.19,stress
9.46,stress
7.32,stress
2.54,stress
4.67,stress
19.2,stress
40.05,stress
66.43,stress
96.48,stress
127.98,stress
159.19,stress
189.49,stress
219.02,stress
247.86,stress
275.14,stress
298.81,stress
316.37,stress
325.97,stress
327.37,stress
321.97,stress
312.04,stress
299.7,stress
286.19,stress
271.79,stress
256.25,stress
239.45,stress
221.64,stress
203.4,stress
185.28,stress
167.54,stress
149.98,stress
132.01,stress
113.0,stress
92.54,stress
70.72,stress
