A,label
0.66,stress
1.01,stress
1.37,stress
1.72,stress
2.06,stress
2.4,stress
2.79,stress
3.24,stress
3.8,stress
4.42,stress
5.06,stress
5.66,stress
6.2,stress
6.68,stress
7.15,stress
7.68,stress
8.31,stress
9.14,stress
10.09,stress
11.04,stress
11.88,stress
12.56,stress
13.14,stress
13.76,stress
14.65,stress
15.96,stress
17.91,stress
20.32,stress
22.9,stress
25.38,stress
27.58,stress
29.57,stress
31.68,stress
34.32,stress
37.81,stress
42.54,stress
48.15,stress
54.1,stress
59.83,stress
64.97,stress
69.58,stress
74.14,stress
79.34,stress
85.71,stress
93.76,stress
103.0,stress
112.62,stress
121.73,stress
129.77,stress
136.75,stress
143.3,stress
150.75,stress
157.77,stress
166.64,stress
177.95,stress
191.79,stress
206.97,stress
220.57,stress
228.25,stress
225.36,stress
208.53,stress
176.87,stress
132.76,stress
80.05,stress
23.07,stress
35.58,stress
71.37,stress
101.21,stress
125.27,stress
144.07,stress
158.32,stress
168.75,stress
175.96,stress
180.32,stress
182.12,stress
181.56,stress
178.93,stress
174.6,stress
168.97,stress
162.47,stress
155.44,stress
148.1,stress
140.55,stress
132.84,stress
125.01,stress
117.12,stress
109.28,stress
101.61,stress
94.2,stress
87.1,stress
80.27,stress
73.64,stress
67.14,stress
60.74,stress
54.52,stress
48.58,stress
43.07,stress
38.07,stress
33.56,stress
29.41,stress
25.42,stress
21.43,stress
17.38,stress
13.37,stress
9.6,stress
6.31,stress
3.62,stress
1.47,stress
7.76,stress
21.19,stress
32.02,stress
39.57,stress
44.03,stress
45.83,stress
45.15,stress
41.91,stress
36.27,stress
29.11,stress
22.1,stress
17.14,stress
15.57,stress
17.48,stress
21.68,stress
26.23,stress
29.26,stress
29.7,stress
27.58,stress
23.76,stress
19.45,stress
15.57,stress
12.46,stress
9.88,stress
7.41,stress
4.84,stress
2.38,stress
0.55,stress
1.47,stress
2.72,stress
3.4,stress
3.28,stress
2.55,stress
1.63,stress
0.85,stress
0.8,stress
1.09,stress
1.46,stress
2.28,stress
4.0,stress
6.98,stress
11.2,stress
16.12,stress
20.81,stress
24.15,stress
25.39,stress
24.4,stress
21.68,stress
18.05,stress
14.18,stress
10.37,stress
6.28,stress
1.64,stress
3.16,stress
6.26,stress
9.0,stress
11.02,stress
12.01,stress
11.79,stress
10.38,stress
8.0,stress
4.93,stress
1.48,stress
1.09,stress
5.64,stress
9.07,stress
10.26,stress
8.88,stress
5.55,stress
1.46,stress
1.01,stress
11.59,stress
21.05,stress
28.67,stress
33.9,stress
36.44,stress
36.32,stress
34.04,stress
30.4,stress
26.32,stress
22.54,stress
19.43,stress
17.03,stress
15.16,stress
13.61,stress
12.23,stress
10.91,stress
9.58,stress
8.19,stress
6.74,stress
5.25,stress
3.76,stress
2.31,stress
0.88,stress
2.25,stress
10.36,stress
16.58,stress
20.81,stress
23.29,stress
24.35,stress
24.32,stress
23.47,stress
22.05,stress
20.36,stress
18.73,stress
17.49,stress
16.82,stress
16.66,stress
16.75,stress
16.75,stress
16.43,stress
15.81,stress
15.09,stress
14.5,stress
14.14,stress
13.83,stress
13.19,stress
11.83,stress
9.48,stress
6.16,stress
2.18,stress
4.79,stress
11.4,stress
15.88,stress
18.58,stress
20.19,stress
21.28,stress
22.05,stress
22.32,stress
21.82,stress
20.44,stress
18.4,stress
16.22,stress
14.5,stress
13.64,stress
13.69,stress
14.28,stress
14.85,stress
14.93,stress
14.39,stress
13.49,stress
12.6,stress
11.93,stress
11.26,stress
10.1,stress
7.98,stress
4.82,stress
1.06,stress
6.4,stress
11.58,stress
15.02,stress
17.24,stress
18.85,stress
20.21,stress
21.24,stress
21.56,stress
20.82,stress
18.98,stress
16.41,stress
13.78,stress
11.74,stress
10.66,stress
10.46,stress
10.84,stress
11.45,stress
12.06,stress
12.61,stress
13.1,stress
13.43,stress
13.4,stress
12.76,stress
11.32,stress
9.08,stress
6.21,stress
3.0,stress
7.94,stress
14.62,stress
19.16,stress
21.59,stress
22.33,stress
21.97,stress
21.02,stress
19.8,stress
18.41,stress
16.88,stress
15.34,stress
14.01,stress
13.19,stress
13.01,stress
13.31,stress
13.69,stress
13.77,stress
13.38,stress
12.72,stress
12.12,stress
11.83,stress
11.69,stress
11.3,stress
10.2,stress
8.3,stress
6.02,stress
4.07,stress
3.02,stress
2.84,stress
2.82,stress
1.82,stress
6.62,stress
12.15,stress
16.39,stress
19.61,stress
21.92,stress
22.96,stress
21.92,stress
17.91,stress
10.62,stress
0.76,stress
4.24,stress
10.0,stress
14.01,stress
16.31,stress
17.23,stress
17.3,stress
16.96,stress
16.48,stress
15.9,stress
15.19,stress
14.37,stress
13.54,stress
12.86,stress
12.37,stress
12.0,stress
11.61,stress
11.14,stress
10.65,stress
10.27,stress
10.06,stress
9.9,stress
9.48,stress
8.51,stress
6.85,stress
4.62,stress
2.14,stress
5.08,stress
13.36,stress
21.1,stress
27.79,stress
33.13,stress
37.0,stress
39.37,stress
40.31,stress
40.09,stress
39.29,stress
38.66,stress
38.94,stress
40.51,stress
43.13,stress
45.99,stress
48.03,stress
48.4,stress
46.8,stress
43.53,stress
39.2,stress
34.31,stress
28.89,stress
22.49,stress
14.32,stress
3.67,stress
7.85,stress
29.9,stress
45.84,stress
54.53,stress
56.53,stress
53.62,stress
47.89,stress
40.92,stress
33.48,stress
25.71,stress
17.62,stress
9.5,stress
2.0,stress
2.01,stress
4.21,stress
5.79,stress
6.84,stress
7.38,stress
7.33,stress
6.52,stress
4.86,stress
2.42,stress
2.47,stress
7.63,stress
11.26,stress
13.2,stress
13.52,stress
12.52,stress
10.64,stress
8.37,stress
6.19,stress
4.42,stress
3.19,stress
2.44,stress
1.95,stress
1.53,stress
1.07,stress
0.52,stress
2.47,stress
12.75,stress
22.46,stress
30.8,stress
37.24,stress
41.61,stress
43.95,stress
44.5,stress
43.54,stress
41.41,stress
38.49,stress
35.17,stress
31.86,stress
28.89,stress
26.47,stress
24.66,stress
23.36,stress
22.42,stress
21.64,stress
20.9,stress
20.14,stress
19.32,stress
18.37,stress
17.19,stress
15.67,stress
13.72,stress
11.33,stress
8.6,stress
5.73,stress
2.93,stress
5.06,stress
10.07,stress
13.81,stress
16.34,stress
17.81,stress
18.32,stress
17.91,stress
16.64,stress
14.7,stress
12.43,stress
10.2,stress
8.33,stress
7.02,stress
6.27,stress
5.99,stress
5.98,stress
6.09,stress
6.12,stress
5.98,stress
5.61,stress
4.97,stress
4.04,stress
2.75,stress
1.03,stress
2.35,stress
6.84,stress
11.74,stress
16.52,stress
20.8,stress
24.31,stress
26.92,stress
28.53,stress
29.1,stress
28.6,stress
27.06,stress
24.68,stress
21.77,stress
18.7,stress
15.79,stress
13.17,stress
10.78,stress
8.39,stress
5.76,stress
2.69,stress
6.82,stress
14.14,stress
20.36,stress
24.81,stress
27.2,stress
27.68,stress
26.61,stress
24.43,stress
21.61,stress
18.51,stress
15.48,stress
12.81,stress
10.73,stress
9.36,stress
8.69,stress
8.59,stress
8.81,stress
9.13,stress
9.37,stress
9.43,stress
9.28,stress
8.91,stress
8.3,stress
7.39,stress
6.11,stress
4.44,stress
2.39,stress
3.58,stress
9.13,stress
13.4,stress
16.21,stress
17.62,stress
17.87,stress
17.29,stress
