A,label
0.0,normal
0.0,normal
0.0,normal
0.0,normal
0.0,normal
0.0,normal
0.0,normal
0.0,normal
0.0,normal
0.0,normal
0.0,normal
0.01,normal
0.01,normal
0.0,normal
-0.03,normal
-0.05,normal
-0.05,normal
0.0,normal
0.13,normal
0.36,normal
-34.94,normal
-92.44,normal
-149.16,normal
-205.23,normal
-260.37,normal
-313.74,normal
-363.87,normal
-409.83,normal
-450.91,normal
-486.5,normal
-515.74,normal
-537.23,normal
-549.22,normal
-549.96,normal
-538.37,normal
-514.21,normal
-478.67,normal
-433.88,normal
-382.45,normal
-327.02,normal
-269.84,normal
-212.63,normal
-156.66,normal
-102.95,normal
-52.37,normal
-5.9,normal
0.47,normal
0.37,normal
0.29,normal
0.23,normal
0.19,normal
0.17,normal
0.16,normal
0.16,normal
0.17,normal
0.18,normal
0.21,normal
0.24,normal
0.27,normal
0.31,normal
0.35,normal
0.4,normal
0.44,normal
0.49,normal
-0.21,normal
-6.76,normal
-13.68,normal
-20.22,normal
-25.85,normal
-30.49,normal
-34.41,normal
-38.01,normal
-41.66,normal
-45.61,normal
-50.05,normal
-54.95,normal
-59.9,normal
-63.8,normal
-64.92,normal
-61.46,normal
-52.42,normal
-38.37,normal
-21.56,normal
-5.17,normal
0.36,normal
-2.41,normal
-4.18,normal
-5.17,normal
-5.68,normal
-5.94,normal
-5.93,normal
-5.5,normal
-4.25,normal
-2.16,normal
-0.89,normal
-1.66,normal
-1.62,normal
-1.05,normal
-0.29,normal
0.36,normal
0.08,normal
-0.82,normal
-2.07,normal
-3.59,normal
-5.15,normal
-6.49,normal
-7.32,normal
-7.51,normal
-7.17,normal
-6.65,normal
-6.37,normal
-6.68,normal
-7.66,normal
-9.08,normal
-10.45,normal
-11.19,normal
-10.82,normal
-9.09,normal
-6.04,normal
-2.01,normal
-0.26,normal
-1.75,normal
-3.28,normal
-4.84,normal
-6.42,normal
-8.05,normal
-9.73,normal
-11.41,normal
-12.9,normal
-13.85,normal
-13.84,normal
-12.53,normal
-9.8,normal
-5.88,normal
-1.29,normal
-0.15,normal
-1.73,normal
-2.89,normal
-3.72,normal
-4.23,normal
-4.46,normal
-4.42,normal
-4.19,normal
-3.84,normal
-3.48,normal
-3.13,normal
-2.83,normal
-2.58,normal
-2.4,normal
-2.31,normal
-2.34,normal
-2.47,normal
-2.71,normal
-3.08,normal
-3.64,normal
-4.43,normal
-5.47,normal
-6.69,normal
-7.94,normal
-9.06,normal
-9.85,normal
-10.15,normal
-9.8,normal
-8.69,normal
-6.85,normal
-4.42,normal
-1.7,normal
-0.33,normal
-2.68,normal
-4.59,normal
-5.76,normal
-6.1,normal
-5.69,normal
-4.74,normal
-3.5,normal
-2.22,normal
-1.18,normal
-0.56,normal
-0.47,normal
-0.85,normal
-1.54,normal
-2.28,normal
-2.88,normal
-3.28,normal
-3.53,normal
-3.76,normal
-4.05,normal
-4.4,normal
-4.73,normal
-4.97,normal
-5.13,normal
-5.31,normal
-5.64,normal
-6.15,normal
-6.7,normal
-7.0,normal
-6.77,normal
-5.79,normal
-4.11,normal
-1.93,normal
0.36,normal
0.04,normal
-0.59,normal
-0.64,normal
-0.13,normal
-0.22,normal
-3.0,normal
-5.75,normal
-8.38,normal
-10.85,normal
