A,label
0.0,normal
0.0,normal
0.0,normal
0.0,normal
0.0,normal
0.0,normal
0.0,normal
0.0,normal
0.0,normal
0.0,normal
0.0,normal
0.01,normal
0.01,normal
0.0,normal
-0.03,normal
-0.05,normal
-0.05,normal
0.0,normal
0.13,normal
0.36,normal
-34.94,normal
-92.44,normal
-149.16,normal
-205.23,normal
-260.37,normal
-313.74,normal
-363.87,normal
-409.83,normal
-450.91,normal
-486.5,normal
-515.74,normal
-537.23,normal
-549.22,normal
-549.96,normal
-538.37,normal
-514.21,normal
-478.67,normal
-433.88,normal
-382.45,normal
-327.02,normal
-269.84,normal
-212.63,normal
-156.66,normal
-102.95,normal
-52.37,normal
-5.9,normal
0.48,normal
0.38,normal
0.3,normal
0.25,normal
0.22,normal
0.21,normal
0.2,normal
0.21,normal
0.23,normal
0.26,normal
0.29,normal
0.32,normal
0.36,normal
0.41,normal
0.45,normal
0.5,normal
-2.88,normal
-7.1,normal
-10.88,normal
-14.07,normal
-16.56,normal
-18.31,normal
-19.33,normal
-19.64,normal
-19.35,normal
-18.58,normal
-17.44,normal
-16.01,normal
-14.41,normal
-12.67,normal
-10.83,normal
-8.92,normal
-6.92,normal
-4.91,normal
-2.94,normal
-1.03,normal
-1.38,normal
-22.11,normal
-42.34,normal
-61.35,normal
-78.91,normal
-95.91,normal
-113.34,normal
-132.28,normal
-153.8,normal
-178.67,normal
-206.84,normal
-236.74,normal
-265.06,normal
-287.09,normal
-298.7,normal
-297.22,normal
-282.78,normal
-258.31,normal
-228.43,normal
-197.68,normal
-169.03,normal
-143.45,normal
-120.42,normal
-99.34,normal
-79.91,normal
-62.36,normal
-47.01,normal
-33.89,normal
-22.53,normal
-12.21,normal
-2.4,normal
-1.35,normal
-6.15,normal
-11.17,normal
-16.38,normal
-21.87,normal
-27.94,normal
-34.92,normal
-42.97,normal
-51.74,normal
-60.15,normal
-66.59,normal
-69.3,normal
-67.0,normal
-59.34,normal
-47.1,normal
-31.95,normal
-15.89,normal
-0.71,normal
-2.04,normal
-5.76,normal
-10.06,normal
-14.56,normal
-18.86,normal
-22.69,normal
-26.09,normal
-29.31,normal
-32.74,normal
-36.85,normal
-42.08,normal
-48.72,normal
-56.7,normal
-65.33,normal
-73.25,normal
-78.62,normal
-79.71,normal
-75.47,normal
-65.94,normal
-52.32,normal
-36.47,normal
-20.41,normal
-5.67,normal
-0.08,normal
-4.61,normal
-9.39,normal
-14.5,normal
-19.84,normal
-25.16,normal
-30.14,normal
-34.5,normal
-38.24,normal
-41.7,normal
-45.54,normal
-50.55,normal
-57.26,normal
-65.69,normal
-74.99,normal
-83.66,normal
-89.78,normal
-91.68,normal
-88.41,normal
-80.02,normal
-67.55,normal
-52.63,normal
-36.96,normal
-21.95,normal
-8.49,normal
-2.27,normal
-7.38,normal
-12.94,normal
-18.35,normal
-23.15,normal
-27.17,normal
-30.62,normal
-33.95,normal
-37.7,normal
-42.4,normal
-48.32,normal
-55.44,normal
-63.21,normal
-70.54,normal
-75.91,normal
-77.76,normal
-75.0,normal
-67.4,normal
-55.72,normal
-41.46,normal
-26.36,normal
-11.86,normal
-4.49,normal
-10.4,normal
-15.89,normal
-20.69,normal
-24.73,normal
-28.16,normal
-31.31,normal
-34.58,normal
