A,label
0.0,normal
0.0,normal
0.0,normal
0.0,normal
0.0,normal
0.0,normal
0.0,normal
0.0,normal
0.0,normal
0.0,normal
0.0,normal
0.01,normal
0.01,normal
0.0,normal
-0.03,normal
-0.05,normal
-0.05,normal
0.0,normal
0.13,normal
0.36,normal
-34.94,normal
-92.44,normal
-149.16,normal
-205.23,normal
-260.37,normal
-313.74,normal
-363.87,normal
-409.83,normal
-450.89,normal
-486.47,normal
-515.69,normal
-537.15,normal
-549.12,normal
-549.82,normal
-538.18,normal
-513.98,normal
-478.39,normal
-433.54,normal
-382.05,normal
-326.56,normal
-269.31,normal
-212.03,normal
-155.99,normal
-102.21,normal
-51.56,normal
-5.01,normal
-3.45,normal
-9.29,normal
-14.45,normal
-18.77,normal
-22.12,normal
-24.48,normal
-25.85,normal
-26.31,normal
-25.97,normal
-24.98,normal
-23.48,normal
-21.6,normal
-19.47,normal
-17.18,normal
-14.79,normal
-12.33,normal
-9.83,normal
-7.32,normal
-4.8,normal
-2.27,normal
0.28,normal
-0.27,normal
-0.92,normal
-1.46,normal
-1.92,normal
-2.33,normal
-2.7,normal
-3.05,normal
-3.37,normal
-3.67,normal
-3.91,normal
-4.12,normal
-4.29,normal
-4.42,normal
-4.5,normal
-4.54,normal
-4.54,normal
-4.5,normal
-4.43,normal
-4.35,normal
-4.28,normal
-4.23,normal
-4.22,normal
-4.27,normal
-4.36,normal
-4.51,normal
-4.69,normal
-4.91,normal
-5.17,normal
-5.47,normal
-5.84,normal
-6.29,normal
-6.8,normal
-7.35,normal
-7.91,normal
-8.44,normal
-8.93,normal
-9.38,normal
-9.83,normal
-10.31,normal
-10.85,normal
-11.44,normal
-12.05,normal
-12.62,normal
-13.11,normal
-13.51,normal
-13.84,normal
-14.18,normal
-14.63,normal
-15.26,normal
-16.09,normal
-17.06,normal
-18.07,normal
-19.02,normal
-19.91,normal
-20.83,normal
-21.97,normal
-23.55,normal
-25.73,normal
-28.51,normal
-31.69,normal
-34.98,normal
-38.11,normal
-40.97,normal
-43.72,normal
-46.75,normal
-50.5,normal
-55.29,normal
-61.13,normal
-67.66,normal
-74.33,normal
-80.61,normal
-86.31,normal
-91.66,normal
-97.34,normal
-104.12,normal
-112.56,normal
-122.76,normal
-134.24,normal
-146.28,normal
-158.13,normal
-169.42,normal
-180.31,normal
-191.38,normal
-203.51,normal
-217.69,normal
-234.88,normal
-255.73,normal
-279.98,normal
-306.0,normal
-330.59,normal
-349.57,normal
-358.99,normal
-356.64,normal
-342.92,normal
-320.69,normal
-294.08,normal
-266.88,normal
-241.4,normal
-218.22,normal
-196.86,normal
-176.7,normal
-157.66,normal
-140.13,normal
-124.5,normal
-110.74,normal
-98.28,normal
-86.36,normal
-74.49,normal
-62.77,normal
-51.84,normal
-42.64,normal
-35.81,normal
-31.47,normal
-29.05,normal
-27.49,normal
-25.69,normal
-22.92,normal
-19.14,normal
-14.94,normal
-11.32,normal
-9.17,normal
-8.97,normal
-10.57,normal
-13.27,normal
-16.09,normal
-17.95,normal
-18.02,normal
-15.73,normal
-10.93,normal
-3.84,normal
0.27,normal
-4.16,normal
-9.33,normal
-14.53,normal
-18.77,normal
-21.07,normal
-20.7,normal
-17.42,normal
-11.53,normal
-3.79,normal
