A,label
0.66,stress
1.01,stress
1.37,stress
1.72,stress
2.06,stress
2.4,stress
2.79,stress
3.24,stress
3.8,stress
4.42,stress
5.06,stress
5.66,stress
6.2,stress
6.68,stress
7.15,stress
7.68,stress
8.31,stress
9.14,stress
10.09,stress
11.04,stress
11.88,stress
12.56,stress
13.14,stress
13.76,stress
14.65,stress
15.96,stress
17.91,stress
20.32,stress
22.9,stress
25.38,stress
27.58,stress
29.57,stress
31.68,stress
34.32,stress
37.81,stress
42.54,stress
48.15,stress
54.1,stress
59.83,stress
64.97,stress
69.58,stress
74.14,stress
79.34,stress
85.71,stress
93.76,stress
103.0,stress
112.62,stress
121.73,stress
129.77,stress
136.75,stress
143.3,stress
150.75,stress
157.77,stress
166.64,stress
177.95,stress
191.79,stress
206.97,stress
220.57,stress
228.25,stress
225.36,stress
208.53,stress
176.87,stress
132.76,stress
80.05,stress
23.07,stress
35.58,stress
71.43,stress
101.35,stress
125.5,stress
144.38,stress
158.69,stress
169.15,stress
176.37,stress
180.75,stress
182.57,stress
182.07,stress
179.51,stress
175.23,stress
169.65,stress
163.18,stress
156.15,stress
148.81,stress
141.3,stress
133.69,stress
126.02,stress
118.33,stress
110.69,stress
103.16,stress
95.8,stress
88.68,stress
81.83,stress
75.25,stress
68.95,stress
62.95,stress
57.25,stress
51.86,stress
46.78,stress
42.03,stress
37.59,stress
33.45,stress
29.61,stress
26.07,stress
22.81,stress
19.83,stress
17.11,stress
14.67,stress
12.48,stress
10.54,stress
8.83,stress
7.35,stress
6.07,stress
4.97,stress
4.05,stress
3.27,stress
2.62,stress
2.09,stress
1.65,stress
1.3,stress
1.01,stress
0.79,stress
0.61,stress
0.54,stress
0.59,stress
0.65,stress
0.7,stress
0.76,stress
0.83,stress
0.9,stress
0.97,stress
1.06,stress
1.15,stress
1.26,stress
1.38,stress
1.51,stress
1.66,stress
1.83,stress
2.01,stress
2.22,stress
2.45,stress
2.7,stress
2.98,stress
3.29,stress
3.63,stress
4.0,stress
4.4,stress
4.84,stress
5.31,stress
5.82,stress
6.38,stress
7.0,stress
7.66,stress
8.34,stress
9.04,stress
9.74,stress
10.44,stress
11.15,stress
11.91,stress
12.75,stress
13.7,stress
14.75,stress
15.9,stress
17.08,stress
18.27,stress
19.42,stress
20.53,stress
21.57,stress
22.48,stress
23.19,stress
23.57,stress
23.43,stress
22.6,stress
20.96,stress
18.44,stress
15.12,stress
11.18,stress
6.8,stress
2.24,stress
3.07,stress
24.61,stress
41.48,stress
51.63,stress
55.38,stress
54.69,stress
51.95,stress
48.9,stress
46.24,stress
43.95,stress
41.94,stress
40.38,stress
39.69,stress
40.16,stress
41.53,stress
43.1,stress
43.95,stress
43.36,stress
41.13,stress
37.68,stress
33.78,stress
30.21,stress
27.44,stress
25.53,stress
24.06,stress
22.44,stress
20.19,stress
17.16,stress
13.56,stress
9.75,stress
6.06,stress
2.7,stress
7.61,stress
17.26,stress
24.48,stress
30.07,stress
34.75,stress
38.93,stress
42.77,stress
46.21,stress
49.2,stress
51.68,stress
53.7,stress
55.28,stress
56.45,stress
57.21,stress
57.58,stress
57.68,stress
57.74,stress
58.01,stress
58.63,stress
59.55,stress
60.38,stress
60.65,stress
59.93,stress
58.02,stress
55.04,stress
51.34,stress
47.31,stress
43.24,stress
39.31,stress
35.58,stress
32.08,stress
28.81,stress
25.69,stress
22.56,stress
19.19,stress
15.41,stress
11.19,stress
6.71,stress
2.28,stress
5.12,stress
13.29,stress
20.54,stress
27.17,stress
33.24,stress
38.63,stress
43.26,stress
47.11,stress
50.26,stress
52.79,stress
54.78,stress
56.27,stress
57.27,stress
57.83,stress
58.0,stress
57.9,stress
57.7,stress
57.49,stress
57.26,stress
56.8,stress
55.8,stress
53.95,stress
51.12,stress
47.47,stress
43.37,stress
39.35,stress
35.77,stress
32.79,stress
30.25,stress
27.76,stress
24.87,stress
21.15,stress
16.47,stress
10.97,stress
5.09,stress
8.29,stress
16.04,stress
21.69,stress
26.05,stress
29.76,stress
33.05,stress
35.94,stress
38.3,stress
40.15,stress
41.64,stress
43.07,stress
44.65,stress
46.4,stress
48.05,stress
49.23,stress
49.66,stress
49.37,stress
48.66,stress
48.01,stress
47.73,stress
47.71,stress
47.42,stress
46.18,stress
43.45,stress
39.22,stress
34.0,stress
28.63,stress
23.92,stress
20.24,stress
17.54,stress
15.4,stress
13.32,stress
10.98,stress
8.28,stress
5.37,stress
2.48,stress
5.41,stress
11.72,stress
16.9,stress
21.5,stress
25.83,stress
29.93,stress
33.7,stress
37.0,stress
39.72,stress
41.87,stress
43.49,stress
44.64,stress
45.39,stress
45.82,stress
46.06,stress
46.24,stress
46.51,stress
46.95,stress
47.5,stress
47.97,stress
48.05,stress
47.37,stress
45.68,stress
42.97,stress
39.52,stress
35.87,stress
32.61,stress
30.06,stress
28.15,stress
26.44,stress
24.4,stress
21.66,stress
18.27,stress
14.58,stress
11.06,stress
7.95,stress
5.2,stress
2.4,stress
6.13,stress
13.29,stress
19.35,stress
24.69,stress
29.45,stress
33.59,stress
37.09,stress
39.95,stress
42.34,stress
44.46,stress
46.47,stress
48.4,stress
50.12,stress
51.4,stress
52.1,stress
52.26,stress
52.1,stress
51.94,stress
52.0,stress
52.24,stress
52.43,stress
52.19,stress
51.24,stress
49.42,stress
46.81,stress
43.66,stress
40.28,stress
36.99,stress
33.98,stress
31.33,stress
28.98,stress
26.77,stress
24.49,stress
21.97,stress
19.14,stress
16.0,stress
12.6,stress
9.03,stress
5.33,stress
1.47,stress
4.83,stress
10.43,stress
15.73,stress
20.65,stress
25.01,stress
28.59,stress
31.41,stress
33.68,stress
35.67,stress
37.58,stress
39.39,stress
40.91,stress
41.76,stress
41.69,stress
40.65,stress
38.89,stress
36.94,stress
35.42,stress
34.8,stress
35.22,stress
36.41,stress
37.75,stress
38.51,stress
38.16,stress
36.59,stress
34.14,stress
31.6,stress
29.9,stress
29.83,stress
31.67,stress
34.88,stress
37.89,stress
38.34,stress
33.55,stress
21.42,stress
1.41,stress
35.99,stress
71.97,stress
95.76,stress
109.35,stress
117.06,stress
123.56,stress
131.86,stress
142.41,stress
153.51,stress
162.65,stress
167.81,stress
168.06,stress
163.45,stress
154.62,stress
142.5,stress
128.3,stress
113.48,stress
99.54,stress
87.56,stress
78.0,stress
70.56,stress
64.36,stress
58.34,stress
51.63,stress
43.77,stress
34.89,stress
25.67,stress
17.16,stress
10.41,stress
6.07,stress
4.16,stress
4.05,stress
4.77,stress
5.36,stress
5.2,stress
4.19,stress
2.55,stress
0.7,stress
1.94,stress
8.78,stress
14.36,stress
19.16,stress
23.47,stress
27.36,stress
30.8,stress
33.74,stress
36.21,stress
38.26,stress
40.02,stress
41.57,stress
42.89,stress
43.92,stress
44.63,stress
45.1,stress
45.52,stress
46.1,stress
46.87,stress
47.64,stress
48.0,stress
47.52,stress
45.94,stress
43.37,stress
40.24,stress
37.09,stress
34.37,stress
32.21,stress
30.42,stress
28.61,stress
26.35,stress
23.45,stress
19.96,stress
16.14,stress
12.28,stress
8.61,stress
5.13,stress
1.75,stress
1.89,stress
8.91,stress
13.95,stress
17.58,stress
20.37,stress
22.77,stress
24.97,stress
27.06,stress
29.06,stress
30.95,stress
32.75,stress
34.41,stress
