A,label
0.66,stress
1.01,stress
1.37,stress
1.72,stress
2.06,stress
2.4,stress
2.79,stress
3.24,stress
3.8,stress
4.42,stress
5.06,stress
5.66,stress
6.2,stress
6.68,stress
7.15,stress
7.68,stress
8.31,stress
9.14,stress
10.09,stress
11.04,stress
11.88,stress
12.56,stress
13.14,stress
13.76,stress
14.65,stress
15.96,stress
17.91,stress
20.32,stress
22.9,stress
25.38,stress
27.58,stress
29.57,stress
31.68,stress
34.32,stress
37.81,stress
42.54,stress
48.15,stress
54.1,stress
59.83,stress
64.97,stress
69.58,stress
74.14,stress
79.34,stress
85.71,stress
93.76,stress
103.0,stress
112.62,stress
121.73,stress
129.77,stress
136.75,stress
143.3,stress
150.75,stress
157.77,stress
166.64,stress
177.95,stress
191.79,stress
206.97,stress
220.57,stress
228.25,stress
225.36,stress
208.53,stress
176.87,stress
132.76,stress
80.05,stress
23.07,stress
36.5,stress
72.43,stress
102.44,stress
126.69,stress
145.68,stress
160.11,stress
170.69,stress
178.06,stress
182.6,stress
184.6,stress
184.3,stress
181.96,stress
177.94,stress
172.64,stress
166.47,stress
159.78,stress
152.82,stress
145.73,stress
138.59,stress
131.42,stress
124.29,stress
117.24,stress
110.37,stress
103.72,stress
97.36,stress
91.31,stress
85.61,stress
80.25,stress
75.25,stress
70.61,stress
66.35,stress
62.47,stress
58.98,stress
55.86,stress
53.12,stress
50.77,stress
48.81,stress
47.21,stress
45.98,stress
45.08,stress
44.45,stress
44.03,stress
43.67,stress
43.25,stress
42.58,stress
41.48,stress
39.79,stress
37.36,stress
34.12,stress
30.03,stress
25.17,stress
19.59,stress
13.48,stress
7.09,stress
0.68,stress
0.95,stress
3.41,stress
5.93,stress
8.52,stress
11.22,stress
14.01,stress
16.86,stress
19.78,stress
22.78,stress
25.86,stress
29.06,stress
32.4,stress
35.93,stress
39.72,stress
43.67,stress
47.74,stress
51.91,stress
56.16,stress
60.5,stress
64.95,stress
69.56,stress
74.39,stress
79.53,stress
84.86,stress
90.29,stress
95.79,stress
101.33,stress
106.91,stress
112.53,stress
118.18,stress
123.89,stress
129.71,stress
135.34,stress
140.54,stress
145.11,stress
148.79,stress
151.31,stress
152.3,stress
151.27,stress
147.52,stress
142.4,stress
136.4,stress
129.83,stress
122.89,stress
115.74,stress
108.5,stress
101.28,stress
94.18,stress
87.32,stress
80.88,stress
74.71,stress
68.75,stress
62.99,stress
57.44,stress
52.14,stress
47.15,stress
42.52,stress
38.32,stress
34.64,stress
31.29,stress
28.16,stress
25.16,stress
22.27,stress
19.47,stress
16.81,stress
14.34,stress
12.1,stress
10.15,stress
8.38,stress
6.73,stress
5.17,stress
3.69,stress
2.35,stress
1.2,stress
3.91,stress
15.95,stress
27.57,stress
38.25,stress
47.25,stress
54.04,stress
58.56,stress
61.23,stress
62.8,stress
63.97,stress
65.12,stress
66.18,stress
66.78,stress
66.6,stress
65.59,stress
64.06,stress
62.53,stress
61.48,stress
61.02,stress
60.92,stress
60.67,stress
59.76,stress
57.88,stress
55.04,stress
51.55,stress
47.83,stress
44.28,stress
41.08,stress
38.21,stress
35.48,stress
32.67,stress
29.6,stress
26.21,stress
22.55,stress
18.75,stress
14.96,stress
11.3,stress
7.78,stress
4.38,stress
0.93,stress
5.75,stress
12.52,stress
18.75,stress
24.53,stress
29.81,stress
34.5,stress
38.47,stress
41.63,stress
43.98,stress
45.62,stress
46.71,stress
47.28,stress
47.41,stress
47.13,stress
46.56,stress
45.87,stress
45.21,stress
44.66,stress
44.19,stress
43.62,stress
42.73,stress
41.41,stress
39.58,stress
37.31,stress
34.74,stress
32.03,stress
29.34,stress
26.78,stress
24.36,stress
22.0,stress
19.53,stress
16.82,stress
13.83,stress
10.66,stress
7.39,stress
4.1,stress
0.78,stress
3.0,stress
10.28,stress
16.83,stress
22.6,stress
27.56,stress
31.72,stress
35.1,stress
37.74,stress
39.69,stress
41.06,stress
41.97,stress
42.52,stress
42.78,stress
42.9,stress
42.97,stress
43.09,stress
43.26,stress
43.38,stress
43.29,stress
42.78,stress
41.77,stress
40.21,stress
38.09,stress
35.4,stress
32.14,stress
28.34,stress
24.14,stress
19.84,stress
15.75,stress
12.18,stress
9.21,stress
6.66,stress
4.19,stress
1.44,stress
8.32,stress
15.19,stress
21.21,stress
26.52,stress
31.17,stress
35.09,stress
38.16,stress
40.3,stress
41.51,stress
41.96,stress
41.85,stress
41.45,stress
40.87,stress
40.22,stress
39.52,stress
38.81,stress
38.15,stress
37.6,stress
37.17,stress
36.78,stress
36.26,stress
35.44,stress
34.19,stress
32.49,stress
30.36,stress
27.9,stress
25.2,stress
22.37,stress
19.53,stress
16.77,stress
14.07,stress
11.33,stress
8.4,stress
5.18,stress
1.75,stress
5.37,stress
12.04,stress
18.3,stress
23.91,stress
28.58,stress
32.09,stress
34.38,stress
35.72,stress
36.42,stress
36.89,stress
37.36,stress
37.93,stress
38.56,stress
39.13,stress
39.55,stress
39.78,stress
39.84,stress
39.73,stress
39.43,stress
38.86,stress
37.88,stress
36.41,stress
34.47,stress
32.2,stress
29.79,stress
27.43,stress
25.18,stress
22.97,stress
20.71,stress
18.3,stress
15.74,stress
13.08,stress
10.39,stress
7.61,stress
4.7,stress
1.57,stress
1.7,stress
7.26,stress
12.28,stress
16.74,stress
20.61,stress
23.79,stress
26.29,stress
28.15,stress
29.48,stress
30.4,stress
30.95,stress
31.18,stress
31.12,stress
30.95,stress
30.9,stress
31.19,stress
31.84,stress
32.69,stress
33.38,stress
33.59,stress
33.08,stress
31.85,stress
30.08,stress
28.04,stress
25.99,stress
24.07,stress
22.3,stress
20.59,stress
18.77,stress
16.74,stress
14.51,stress
12.23,stress
10.08,stress
8.19,stress
6.53,stress
4.93,stress
3.17,stress
1.1,stress
2.0,stress
6.63,stress
10.9,stress
14.89,stress
18.53,stress
21.66,stress
24.15,stress
26.02,stress
27.38,stress
28.42,stress
29.27,stress
29.99,stress
30.59,stress
31.1,stress
31.52,stress
31.91,stress
32.21,stress
32.34,stress
32.17,stress
31.61,stress
30.59,stress
29.19,stress
27.54,stress
25.82,stress
24.19,stress
22.74,stress
21.49,stress
20.39,stress
19.31,stress
18.11,stress
16.66,stress
14.9,stress
12.85,stress
10.55,stress
8.12,stress
5.62,stress
3.12,stress
0.62,stress
1.7,stress
5.46,stress
8.64,stress
11.44,stress
13.95,stress
16.16,stress
18.04,stress
19.6,stress
20.85,stress
21.86,stress
22.65,stress
23.27,stress
23.74,stress
24.09,stress
24.36,stress
24.62,stress
24.95,stress
25.38,stress
25.87,stress
26.28,stress
26.43,stress
26.15,stress
25.3,stress
23.94,stress
22.22,stress
20.38,stress
18.64,stress
17.08,stress
15.62,stress
14.11,stress
12.42,stress
10.54,stress
8.6,stress
6.8,stress
5.27,stress
4.04,stress
2.99,stress
1.86,stress
2.11,stress
7.7,stress
12.18,stress
15.61,stress
18.14,stress
19.93,stress
21.18,stress
22.08,stress
22.72,stress
23.16,stress
23.37,stress
23.33,stress
23.1,stress
22.87,stress
22.81,stress
23.1,stress
23.74,stress
24.55,stress
25.29,stress
25.69,stress
25.68,stress
25.31,stress
24.73,stress
24.04,stress
23.24,stress
22.23,stress
20.86,stress
19.09,stress
16.92,stress
14.49,stress
11.94,stress
