A,label
0.66,stress
1.01,stress
1.37,stress
1.72,stress
2.06,stress
2.4,stress
2.79,stress
3.24,stress
3.8,stress
4.42,stress
5.06,stress
5.66,stress
6.2,stress
6.68,stress
7.15,stress
7.68,stress
8.31,stress
9.14,stress
10.09,stress
11.04,stress
11.88,stress
12.56,stress
13.14,stress
13.76,stress
14.65,stress
15.96,stress
17.91,stress
20.32,stress
22.9,stress
25.38,stress
27.58,stress
29.57,stress
31.68,stress
34.32,stress
37.81,stress
42.54,stress
48.15,stress
54.1,stress
59.83,stress
64.97,stress
69.58,stress
74.14,stress
79.34,stress
85.71,stress
93.76,stress
103.0,stress
112.62,stress
121.73,stress
129.77,stress
136.75,stress
143.3,stress
150.75,stress
157.77,stress
166.64,stress
177.95,stress
191.79,stress
206.97,stress
220.57,stress
228.25,stress
225.36,stress
208.53,stress
176.87,stress
132.76,stress
80.05,stress
23.07,stress
35.58,stress
71.43,stress
101.35,stress
125.5,stress
144.38,stress
158.69,stress
169.15,stress
176.37,stress
180.75,stress
182.57,stress
182.07,stress
179.51,stress
175.23,stress
169.65,stress
163.18,stress
156.15,stress
148.81,stress
141.3,stress
133.69,stress
126.02,stress
118.33,stress
110.69,stress
103.16,stress
95.8,stress
88.68,stress
81.83,stress
75.25,stress
68.95,stress
62.95,stress
57.25,stress
51.86,stress
46.78,stress
42.03,stress
37.59,stress
33.45,stress
29.61,stress
26.07,stress
22.81,stress
19.83,stress
17.11,stress
14.67,stress
12.48,stress
10.54,stress
8.83,stress
7.35,stress
6.07,stress
4.97,stress
4.05,stress
3.27,stress
2.62,stress
2.09,stress
1.65,stress
1.3,stress
1.01,stress
0.79,stress
0.61,stress
0.54,stress
0.59,stress
0.64,stress
0.69,stress
0.75,stress
0.82,stress
0.89,stress
0.96,stress
1.05,stress
1.14,stress
1.24,stress
1.36,stress
1.49,stress
1.63,stress
1.8,stress
1.98,stress
2.18,stress
2.41,stress
2.66,stress
2.93,stress
3.23,stress
3.57,stress
3.93,stress
4.33,stress
4.77,stress
5.23,stress
5.74,stress
6.29,stress
6.88,stress
7.51,stress
8.18,stress
8.9,stress
9.66,stress
10.46,stress
11.31,stress
12.2,stress
13.16,stress
14.17,stress
15.25,stress
16.39,stress
17.56,stress
18.73,stress
19.91,stress
21.04,stress
22.13,stress
23.1,stress
23.87,stress
24.34,stress
24.34,stress
23.73,stress
22.39,stress
20.26,stress
17.36,stress
13.79,stress
9.65,stress
5.15,stress
17.22,stress
34.3,stress
45.69,stress
51.34,stress
52.72,stress
51.79,stress
49.98,stress
47.85,stress
45.34,stress
42.37,stress
39.23,stress
36.54,stress
34.93,stress
34.5,stress
34.76,stress
34.83,stress
33.86,stress
31.47,stress
27.86,stress
23.72,stress
19.85,stress
16.78,stress
14.61,stress
12.98,stress
11.4,stress
9.45,stress
6.97,stress
4.06,stress
1.0,stress
6.91,stress
13.37,stress
19.64,stress
25.43,stress
30.38,stress
34.25,stress
36.94,stress
38.47,stress
39.05,stress
38.96,stress
38.51,stress
37.94,stress
37.35,stress
36.71,stress
35.92,stress
34.91,stress
33.65,stress
32.21,stress
30.72,stress
29.26,stress
27.82,stress
26.31,stress
24.66,stress
22.79,stress
20.77,stress
18.73,stress
16.81,stress
15.03,stress
13.32,stress
11.47,stress
9.32,stress
6.8,stress
3.99,stress
1.08,stress
4.77,stress
11.19,stress
16.34,stress
20.32,stress
23.37,stress
25.75,stress
27.52,stress
28.66,stress
29.19,stress
29.21,stress
28.96,stress
28.66,stress
28.48,stress
28.39,stress
28.28,stress
27.95,stress
27.25,stress
26.14,stress
24.66,stress
22.86,stress
20.9,stress
18.88,stress
16.96,stress
15.23,stress
13.77,stress
12.6,stress
11.66,stress
10.79,stress
9.78,stress
8.47,stress
6.75,stress
4.7,stress
2.49,stress
0.92,stress
6.84,stress
12.4,stress
17.34,stress
21.41,stress
24.45,stress
26.39,stress
27.3,stress
27.35,stress
26.72,stress
25.66,stress
24.33,stress
22.9,stress
21.51,stress
20.34,stress
19.57,stress
19.25,stress
19.28,stress
19.38,stress
19.18,stress
18.36,stress
16.81,stress
14.59,stress
11.93,stress
9.14,stress
6.42,stress
3.9,stress
1.56,stress
0.94,stress
5.5,stress
10.1,stress
14.61,stress
18.9,stress
22.72,stress
25.83,stress
28.04,stress
29.29,stress
29.77,stress
29.68,stress
29.22,stress
28.5,stress
27.54,stress
26.37,stress
25.12,stress
24.01,stress
23.2,stress
22.69,stress
22.3,stress
21.74,stress
20.78,stress
19.34,stress
17.54,stress
15.61,stress
13.76,stress
12.09,stress
10.57,stress
9.11,stress
7.57,stress
5.88,stress
4.01,stress
2.02,stress
3.97,stress
9.32,stress
14.32,stress
18.7,stress
22.22,stress
24.81,stress
26.59,stress
27.84,stress
28.83,stress
29.75,stress
30.59,stress
31.21,stress
31.52,stress
31.46,stress
31.07,stress
30.41,stress
29.5,stress
28.37,stress
26.95,stress
25.2,stress
23.08,stress
20.63,stress
17.96,stress
15.29,stress
12.88,stress
10.91,stress
9.42,stress
8.17,stress
6.81,stress
4.95,stress
2.45,stress
2.25,stress
8.66,stress
14.64,stress
19.8,stress
23.8,stress
26.47,stress
27.81,stress
28.01,stress
27.51,stress
26.85,stress
26.53,stress
26.86,stress
27.79,stress
28.93,stress
29.75,stress
29.81,stress
28.94,stress
27.34,stress
25.44,stress
23.68,stress
22.32,stress
21.36,stress
20.61,stress
19.87,stress
19.04,stress
18.05,stress
16.85,stress
15.35,stress
13.41,stress
10.94,stress
8.05,stress
5.02,stress
2.19,stress
4.54,stress
8.43,stress
11.42,stress
13.49,stress
14.76,stress
15.43,stress
15.74,stress
15.91,stress
16.07,stress
16.35,stress
16.77,stress
17.32,stress
17.84,stress
18.13,stress
18.0,stress
17.37,stress
16.34,stress
15.14,stress
14.02,stress
13.16,stress
12.52,stress
11.96,stress
11.25,stress
10.15,stress
8.57,stress
6.55,stress
4.31,stress
2.12,stress
2.04,stress
6.2,stress
10.27,stress
14.1,stress
17.54,stress
20.58,stress
23.16,stress
25.2,stress
26.58,stress
27.19,stress
27.06,stress
26.39,stress
25.45,stress
24.49,stress
23.68,stress
23.04,stress
22.48,stress
21.9,stress
21.18,stress
20.2,stress
18.88,stress
17.17,stress
15.17,stress
13.09,stress
11.13,stress
9.41,stress
7.81,stress
6.01,stress
3.72,stress
0.86,stress
1.67,stress
3.8,stress
5.18,stress
5.64,stress
5.1,stress
3.61,stress
1.3,stress
8.07,stress
20.47,stress
32.56,stress
43.63,stress
53.07,stress
60.36,stress
65.2,stress
67.53,stress
67.58,stress
65.79,stress
62.69,stress
58.73,stress
54.2,stress
49.24,stress
43.9,stress
38.26,stress
32.41,stress
26.41,stress
20.18,stress
13.46,stress
5.92,stress
4.35,stress
10.53,stress
16.28,stress
21.41,stress
25.83,stress
29.52,stress
32.63,stress
35.3,stress
37.74,stress
40.12,stress
42.62,stress
45.44,stress
48.68,stress
52.31,stress
56.05,stress
59.47,stress
62.11,stress
63.66,stress
64.08,stress
63.54,stress
62.38,stress
60.9,stress
59.33,stress
57.89,stress
56.83,stress
56.51,stress
57.36,stress
59.65,stress
63.26,stress
67.41,stress
70.64,stress
71.14,stress
67.24,stress
58.1,stress
44.17,stress
27.06,stress
9.18,stress
