A,label
0.66,stress
1.01,stress
1.37,stress
1.72,stress
2.06,stress
2.4,stress
2.79,stress
3.24,stress
3.8,stress
4.42,stress
5.06,stress
5.66,stress
6.2,stress
6.68,stress
7.15,stress
7.68,stress
8.31,stress
9.14,stress
10.09,stress
11.04,stress
11.88,stress
12.56,stress
13.14,stress
13.76,stress
14.65,stress
15.96,stress
17.91,stress
20.32,stress
22.9,stress
25.38,stress
27.58,stress
29.57,stress
31.68,stress
34.32,stress
37.81,stress
42.54,stress
48.15,stress
54.1,stress
59.83,stress
64.97,stress
69.58,stress
74.14,stress
79.34,stress
85.71,stress
93.76,stress
103.0,stress
112.62,stress
121.73,stress
129.77,stress
136.75,stress
143.3,stress
150.75,stress
157.77,stress
166.64,stress
177.95,stress
191.79,stress
206.97,stress
220.57,stress
228.25,stress
225.36,stress
208.53,stress
176.87,stress
132.76,stress
80.05,stress
23.07,stress
36.5,stress
72.43,stress
102.45,stress
126.7,stress
145.69,stress
160.12,stress
170.71,stress
178.07,stress
182.62,stress
184.62,stress
184.32,stress
181.99,stress
177.97,stress
172.67,stress
166.51,stress
159.83,stress
152.87,stress
145.78,stress
138.64,stress
131.48,stress
124.35,stress
117.31,stress
110.44,stress
103.8,stress
97.44,stress
91.4,stress
85.7,stress
80.35,stress
75.36,stress
70.73,stress
66.47,stress
62.6,stress
59.12,stress
56.0,stress
53.28,stress
50.94,stress
48.98,stress
47.4,stress
46.17,stress
45.28,stress
44.65,stress
44.2,stress
43.82,stress
43.34,stress
42.59,stress
41.4,stress
39.6,stress
37.05,stress
33.68,stress
29.48,stress
24.52,stress
18.87,stress
12.74,stress
6.36,stress
0.89,stress
3.36,stress
5.88,stress
8.49,stress
11.22,stress
14.06,stress
16.99,stress
20.01,stress
23.13,stress
26.34,stress
29.66,stress
33.11,stress
36.72,stress
40.55,stress
44.49,stress
48.5,stress
52.57,stress
56.7,stress
60.9,stress
65.21,stress
69.7,stress
74.44,stress
79.53,stress
84.82,stress
90.26,stress
95.77,stress
101.35,stress
106.95,stress
112.59,stress
118.26,stress
123.98,stress
129.81,stress
135.46,stress
140.7,stress
145.34,stress
149.12,stress
151.77,stress
152.93,stress
152.09,stress
148.54,stress
143.64,stress
137.86,stress
131.52,stress
124.83,stress
117.95,stress
111.02,stress
104.15,stress
97.45,stress
91.04,stress
85.09,stress
79.41,stress
73.91,stress
68.54,stress
63.28,stress
58.14,stress
53.15,stress
48.37,stress
43.88,stress
39.8,stress
36.02,stress
32.47,stress
29.14,stress
25.99,stress
23.03,stress
20.25,stress
17.65,stress
15.27,stress
13.14,stress
11.16,stress
9.26,stress
7.39,stress
5.53,stress
3.67,stress
1.85,stress
5.4,stress
10.58,stress
15.18,stress
18.87,stress
21.62,stress
23.58,stress
25.08,stress
26.41,stress
27.78,stress
29.21,stress
30.63,stress
31.88,stress
32.84,stress
33.46,stress
33.74,stress
33.68,stress
33.36,stress
32.82,stress
32.18,stress
31.52,stress
30.93,stress
30.4,stress
29.85,stress
29.21,stress
28.47,stress
27.68,stress
27.01,stress
26.63,stress
26.58,stress
26.84,stress
27.24,stress
27.64,stress
27.89,stress
27.94,stress
27.78,stress
27.4,stress
26.86,stress
26.18,stress
25.47,stress
24.78,stress
24.21,stress
23.77,stress
23.44,stress
23.19,stress
22.97,stress
22.74,stress
22.46,stress
22.09,stress
21.58,stress
20.9,stress
20.11,stress
19.29,stress
18.54,stress
17.91,stress
17.34,stress
16.72,stress
15.95,stress
15.03,stress
14.06,stress
13.27,stress
12.84,stress
12.83,stress
13.1,stress
13.4,stress
13.47,stress
13.19,stress
12.63,stress
12.03,stress
11.66,stress
11.65,stress
12.01,stress
12.55,stress
13.06,stress
13.34,stress
13.34,stress
13.08,stress
12.67,stress
12.17,stress
11.63,stress
11.04,stress
10.41,stress
9.83,stress
9.41,stress
9.22,stress
9.29,stress
9.54,stress
9.83,stress
10.0,stress
9.96,stress
9.71,stress
9.37,stress
9.1,stress
9.02,stress
9.21,stress
9.6,stress
10.05,stress
10.39,stress
10.49,stress
10.35,stress
10.05,stress
9.71,stress
9.4,stress
9.1,stress
8.7,stress
8.13,stress
7.41,stress
6.67,stress
6.07,stress
5.72,stress
5.63,stress
5.71,stress
5.85,stress
6.0,stress
6.19,stress
6.49,stress
6.89,stress
7.42,stress
7.97,stress
8.49,stress
8.92,stress
9.22,stress
9.34,stress
9.22,stress
8.83,stress
8.2,stress
7.46,stress
6.77,stress
6.3,stress
6.11,stress
6.17,stress
6.4,stress
6.69,stress
6.95,stress
7.09,stress
7.07,stress
6.85,stress
6.46,stress
6.0,stress
5.52,stress
5.1,stress
4.74,stress
4.42,stress
4.09,stress
3.77,stress
3.49,stress
3.26,stress
3.08,stress
2.89,stress
2.69,stress
2.45,stress
2.22,stress
2.01,stress
1.84,stress
1.72,stress
1.68,stress
1.77,stress
2.08,stress
2.65,stress
3.44,stress
4.32,stress
5.09,stress
5.62,stress
5.84,stress
5.83,stress
5.75,stress
5.7,stress
5.75,stress
5.82,stress
5.77,stress
5.49,stress
4.93,stress
4.16,stress
3.35,stress
2.69,stress
2.25,stress
2.02,stress
1.84,stress
1.58,stress
1.18,stress
0.73,stress
0.51,stress
0.93,stress
1.43,stress
1.89,stress
2.3,stress
2.72,stress
3.23,stress
3.84,stress
4.45,stress
4.92,stress
5.17,stress
5.19,stress
5.06,stress
4.9,stress
4.8,stress
4.79,stress
4.82,stress
4.83,stress
4.78,stress
4.7,stress
4.66,stress
4.74,stress
4.96,stress
5.22,stress
5.41,stress
5.38,stress
5.08,stress
4.55,stress
3.88,stress
3.16,stress
2.48,stress
1.9,stress
1.45,stress
1.14,stress
0.94,stress
0.8,stress
0.64,stress
0.71,stress
1.41,stress
2.19,stress
2.79,stress
2.98,stress
2.71,stress
2.08,stress
1.31,stress
0.63,stress
0.9,stress
1.87,stress
3.09,stress
4.35,stress
5.43,stress
6.17,stress
6.54,stress
6.59,stress
6.36,stress
5.89,stress
5.23,stress
4.45,stress
3.71,stress
3.17,stress
2.88,stress
2.73,stress
2.5,stress
2.01,stress
1.27,stress
0.52,stress
0.72,stress
1.38,stress
2.02,stress
2.54,stress
2.88,stress
3.08,stress
3.24,stress
3.47,stress
3.89,stress
4.48,stress
5.12,stress
5.61,stress
5.75,stress
5.45,stress
4.77,stress
3.86,stress
2.95,stress
2.18,stress
1.63,stress
1.24,stress
0.96,stress
0.73,stress
0.59,stress
0.62,stress
0.86,stress
1.3,stress
1.81,stress
2.16,stress
2.2,stress
1.85,stress
1.25,stress
0.63,stress
0.54,stress
0.66,stress
1.1,stress
1.69,stress
2.37,stress
3.14,stress
3.92,stress
4.6,stress
4.98,stress
4.95,stress
4.51,stress
3.78,stress
3.02,stress
2.42,stress
2.07,stress
1.89,stress
1.66,stress
1.19,stress
0.78,stress
1.29,stress
1.89,stress
2.41,stress
2.75,stress
2.93,stress
3.11,stress
3.3,stress
3.47,stress
3.44,stress
3.04,stress
2.3,stress
1.4,stress
0.66,stress
0.67,stress
1.14,stress
1.54,stress
1.75,stress
1.76,stress
1.57,stress
1.29,stress
1.01,stress
0.87,stress
0.96,stress
1.29,stress
1.72,stress
2.06,stress
2.17,stress
2.02,stress
1.72,stress
1.33,stress
0.93,stress
