A,label
0.66,stress
1.01,stress
1.37,stress
1.72,stress
2.06,stress
2.4,stress
2.79,stress
3.24,stress
3.8,stress
4.42,stress
5.06,stress
5.66,stress
6.2,stress
6.68,stress
7.15,stress
7.68,stress
8.31,stress
9.14,stress
10.09,stress
11.04,stress
11.88,stress
12.56,stress
13.14,stress
13.76,stress
14.65,stress
15.96,stress
17.91,stress
20.32,stress
22.9,stress
25.38,stress
27.58,stress
29.57,stress
31.68,stress
34.32,stress
37.81,stress
42.54,stress
48.15,stress
54.1,stress
59.83,stress
64.97,stress
69.58,stress
74.14,stress
79.34,stress
85.71,stress
93.76,stress
103.0,stress
112.62,stress
121.73,stress
129.77,stress
136.75,stress
143.3,stress
150.75,stress
157.77,stress
166.64,stress
177.95,stress
191.79,stress
206.97,stress
220.57,stress
228.25,stress
225.36,stress
208.53,stress
176.87,stress
132.76,stress
80.05,stress
23.07,stress
35.58,stress
71.43,stress
101.35,stress
125.5,stress
144.38,stress
158.69,stress
169.15,stress
176.37,stress
180.75,stress
182.57,stress
182.07,stress
179.51,stress
175.23,stress
169.65,stress
163.18,stress
156.15,stress
148.81,stress
141.3,stress
133.69,stress
126.02,stress
118.33,stress
110.69,stress
103.16,stress
95.8,stress
88.68,stress
81.83,stress
75.25,stress
68.95,stress
62.95,stress
57.25,stress
51.86,stress
46.78,stress
42.03,stress
37.59,stress
33.45,stress
29.61,stress
26.07,stress
22.81,stress
19.83,stress
17.11,stress
14.67,stress
12.48,stress
10.54,stress
8.83,stress
7.35,stress
6.07,stress
4.97,stress
4.05,stress
3.27,stress
2.62,stress
2.09,stress
1.65,stress
1.3,stress
1.01,stress
0.78,stress
0.61,stress
2.71,stress
14.84,stress
26.21,stress
34.07,stress
36.85,stress
34.76,stress
29.4,stress
22.78,stress
16.43,stress
10.99,stress
6.39,stress
2.45,stress
2.32,stress
4.91,stress
7.08,stress
8.52,stress
9.03,stress
8.54,stress
7.15,stress
5.15,stress
2.91,stress
0.8,stress
0.59,stress
1.2,stress
1.62,stress
1.85,stress
1.86,stress
1.55,stress
0.79,stress
1.26,stress
6.83,stress
11.74,stress
15.58,stress
18.06,stress
19.09,stress
18.72,stress
17.2,stress
14.88,stress
12.2,stress
9.6,stress
7.48,stress
6.12,stress
5.6,stress
5.81,stress
6.42,stress
7.05,stress
7.35,stress
7.09,stress
6.24,stress
4.89,stress
3.21,stress
1.32,stress
4.67,stress
9.93,stress
13.83,stress
16.49,stress
18.06,stress
18.64,stress
18.33,stress
17.33,stress
15.94,stress
14.51,stress
13.29,stress
12.41,stress
11.84,stress
11.5,stress
11.29,stress
11.13,stress
10.97,stress
10.74,stress
10.37,stress
9.76,stress
8.85,stress
7.59,stress
5.97,stress
3.98,stress
1.64,stress
5.85,stress
11.27,stress
15.44,stress
18.29,stress
19.9,stress
20.38,stress
19.89,stress
18.69,stress
17.11,stress
15.56,stress
14.42,stress
13.9,stress
13.97,stress
14.37,stress
14.79,stress
15.02,stress
15.02,stress
14.89,stress
14.71,stress
14.44,stress
13.91,stress
12.9,stress
11.25,stress
8.98,stress
6.26,stress
3.34,stress
4.97,stress
9.32,stress
12.53,stress
14.66,stress
15.79,stress
16.04,stress
15.53,stress
14.46,stress
13.09,stress
11.78,stress
10.88,stress
10.59,stress
10.89,stress
11.56,stress
12.32,stress
12.97,stress
13.42,stress
13.72,stress
13.87,stress
13.83,stress
13.45,stress
12.57,stress
11.1,stress
9.1,stress
6.71,stress
4.17,stress
1.72,stress
2.86,stress
7.56,stress
11.04,stress
13.27,stress
14.3,stress
14.3,stress
13.5,stress
12.21,stress
10.79,stress
9.58,stress
8.8,stress
8.55,stress
8.77,stress
9.25,stress
9.75,stress
10.0,stress
9.9,stress
9.5,stress
8.96,stress
8.48,stress
8.14,stress
7.81,stress
7.21,stress
6.1,stress
4.32,stress
1.95,stress
2.79,stress
7.82,stress
11.57,stress
14.04,stress
15.37,stress
15.75,stress
15.4,stress
14.56,stress
13.5,stress
12.57,stress
12.04,stress
12.03,stress
12.44,stress
12.95,stress
13.22,stress
13.03,stress
12.38,stress
11.47,stress
10.53,stress
9.72,stress
9.06,stress
8.46,stress
7.78,stress
6.88,stress
5.69,stress
4.16,stress
2.29,stress
2.04,stress
6.81,stress
10.54,stress
13.17,stress
14.66,stress
15.06,stress
14.52,stress
13.42,stress
12.26,stress
11.51,stress
11.44,stress
12.02,stress
12.97,stress
13.95,stress
14.66,stress
14.97,stress
14.9,stress
14.53,stress
13.95,stress
13.24,stress
12.45,stress
11.59,stress
10.63,stress
9.5,stress
8.13,stress
6.48,stress
4.57,stress
2.49,stress
1.59,stress
5.26,stress
8.08,stress
10.09,stress
11.24,stress
11.52,stress
10.95,stress
9.79,stress
8.42,stress
7.28,stress
6.67,stress
6.64,stress
7.02,stress
7.57,stress
8.07,stress
8.41,stress
8.58,stress
8.58,stress
8.37,stress
7.84,stress
6.92,stress
5.61,stress
4.01,stress
2.24,stress
4.23,stress
9.51,stress
14.59,stress
19.45,stress
24.15,stress
28.71,stress
33.02,stress
36.87,stress
39.96,stress
42.05,stress
43.03,stress
42.99,stress
42.06,stress
40.45,stress
38.34,stress
35.82,stress
33.0,stress
29.95,stress
26.74,stress
23.46,stress
20.15,stress
16.89,stress
13.72,stress
10.72,stress
7.87,stress
5.14,stress
2.44,stress
2.9,stress
6.62,stress
9.71,stress
11.94,stress
13.1,stress
13.15,stress
12.26,stress
10.76,stress
9.08,stress
7.62,stress
6.66,stress
6.34,stress
6.69,stress
7.55,stress
8.66,stress
9.69,stress
10.35,stress
10.46,stress
9.99,stress
9.07,stress
7.86,stress
6.54,stress
5.16,stress
3.74,stress
2.25,stress
0.66,stress
4.23,stress
7.49,stress
9.83,stress
11.41,stress
12.36,stress
12.69,stress
12.39,stress
11.49,stress
10.19,stress
8.8,stress
7.67,stress
7.06,stress
7.0,stress
7.39,stress
8.01,stress
8.64,stress
9.14,stress
9.43,stress
9.49,stress
9.28,stress
8.78,stress
7.95,stress
6.75,stress
5.16,stress
3.25,stress
1.17,stress
4.14,stress
7.09,stress
9.16,stress
10.5,stress
11.19,stress
11.16,stress
10.36,stress
8.86,stress
6.99,stress
5.22,stress
4.01,stress
3.61,stress
3.99,stress
4.89,stress
5.96,stress
6.94,stress
7.67,stress
8.08,stress
8.1,stress
7.62,stress
6.6,stress
5.02,stress
3.02,stress
0.85,stress
3.85,stress
6.74,stress
8.6,stress
9.55,stress
9.67,stress
9.06,stress
7.87,stress
6.35,stress
4.84,stress
3.72,stress
3.18,stress
3.21,stress
3.63,stress
4.18,stress
4.69,stress
5.14,stress
5.54,stress
5.94,stress
6.23,stress
6.19,stress
5.58,stress
4.22,stress
2.09,stress
4.0,stress
7.55,stress
10.05,stress
11.57,stress
12.21,stress
12.09,stress
11.43,stress
10.48,stress
9.58,stress
9.03,stress
9.0,stress
9.5,stress
10.32,stress
11.19,stress
11.81,stress
12.05,stress
11.93,stress
11.6,stress
11.19,stress
10.74,stress
10.08,stress
8.98,stress
7.26,stress
4.97,stress
2.38,stress
3.62,stress
7.47,stress
10.54,stress
12.9,stress
14.6,stress
15.65,stress
16.04,stress
15.82,stress
15.1,stress
14.17,stress
13.31,stress
12.8,stress
12.79,stress
13.23,stress
