A,label
0.66,stress
1.01,stress
1.37,stress
1.72,stress
2.06,stress
2.4,stress
2.79,stress
3.24,stress
3.8,stress
4.42,stress
5.06,stress
5.66,stress
6.2,stress
6.68,stress
7.15,stress
7.68,stress
8.31,stress
9.14,stress
10.09,stress
11.04,stress
11.88,stress
12.56,stress
13.14,stress
13.76,stress
14.65,stress
15.96,stress
17.91,stress
20.32,stress
22.9,stress
25.38,stress
27.58,stress
29.57,stress
31.68,stress
34.32,stress
37.81,stress
42.54,stress
48.15,stress
54.1,stress
59.83,stress
64.97,stress
69.58,stress
74.14,stress
79.34,stress
85.71,stress
93.76,stress
103.0,stress
112.62,stress
121.73,stress
129.77,stress
136.75,stress
143.3,stress
150.75,stress
157.77,stress
166.64,stress
177.95,stress
191.79,stress
206.97,stress
220.57,stress
228.25,stress
225.36,stress
208.53,stress
176.87,stress
132.76,stress
80.05,stress
23.07,stress
35.58,stress
71.43,stress
101.35,stress
125.5,stress
144.38,stress
158.69,stress
169.15,stress
176.37,stress
180.75,stress
182.57,stress
182.07,stress
179.51,stress
175.23,stress
169.65,stress
163.18,stress
156.15,stress
148.81,stress
141.3,stress
133.69,stress
126.02,stress
118.33,stress
110.69,stress
103.16,stress
95.8,stress
88.68,stress
81.83,stress
75.25,stress
68.95,stress
62.95,stress
57.25,stress
51.86,stress
46.78,stress
42.03,stress
37.59,stress
33.45,stress
29.61,stress
26.07,stress
22.81,stress
19.83,stress
17.11,stress
14.67,stress
12.48,stress
10.54,stress
8.83,stress
7.35,stress
6.07,stress
4.97,stress
4.05,stress
3.27,stress
2.62,stress
2.09,stress
1.65,stress
1.3,stress
1.01,stress
0.79,stress
0.61,stress
0.55,stress
0.59,stress
0.64,stress
0.7,stress
0.76,stress
0.82,stress
0.88,stress
0.96,stress
1.04,stress
1.13,stress
1.24,stress
1.35,stress
1.48,stress
1.63,stress
1.8,stress
1.98,stress
2.19,stress
2.41,stress
2.67,stress
2.95,stress
3.26,stress
3.59,stress
3.96,stress
4.37,stress
4.8,stress
5.27,stress
5.78,stress
6.32,stress
6.91,stress
7.53,stress
8.2,stress
8.91,stress
9.65,stress
10.45,stress
11.28,stress
12.16,stress
13.08,stress
14.06,stress
15.11,stress
16.21,stress
17.37,stress
18.58,stress
19.82,stress
21.03,stress
22.15,stress
23.09,stress
23.74,stress
23.98,stress
23.69,stress
22.78,stress
21.18,stress
18.88,stress
15.9,stress
12.32,stress
8.28,stress
3.95,stress
1.06,stress
2.84,stress
4.46,stress
5.96,stress
7.37,stress
8.69,stress
9.99,stress
11.34,stress
12.71,stress
14.11,stress
15.63,stress
17.31,stress
19.21,stress
21.32,stress
23.64,stress
26.18,stress
29.03,stress
32.01,stress
35.13,stress
38.46,stress
42.08,stress
46.01,stress
50.17,stress
54.4,stress
58.61,stress
62.83,stress
66.76,stress
70.41,stress
74.02,stress
77.77,stress
81.75,stress
85.81,stress
89.62,stress
92.9,stress
95.59,stress
97.22,stress
97.85,stress
97.72,stress
96.99,stress
95.37,stress
91.96,stress
85.19,stress
72.74,stress
57.02,stress
38.73,stress
18.75,stress
3.97,stress
15.04,stress
24.71,stress
32.4,stress
37.88,stress
41.36,stress
43.26,stress
44.01,stress
43.95,stress
43.3,stress
42.22,stress
40.77,stress
38.97,stress
36.74,stress
34.13,stress
31.49,stress
29.33,stress
28.27,stress
28.65,stress
30.4,stress
32.94,stress
35.48,stress
37.34,stress
38.19,stress
38.19,stress
37.74,stress
37.27,stress
36.88,stress
36.4,stress
35.42,stress
33.67,stress
31.12,stress
28.06,stress
24.94,stress
22.13,stress
19.79,stress
17.79,stress
15.84,stress
13.6,stress
10.81,stress
7.36,stress
3.25,stress
2.89,stress
10.11,stress
16.21,stress
20.9,stress
24.19,stress
26.39,stress
27.87,stress
28.98,stress
29.84,stress
30.49,stress
30.87,stress
30.97,stress
30.84,stress
30.6,stress
30.37,stress
30.23,stress
30.16,stress
30.06,stress
29.81,stress
29.28,stress
28.4,stress
27.19,stress
25.7,stress
23.97,stress
21.88,stress
19.3,stress
16.06,stress
12.18,stress
7.86,stress
3.45,stress
4.59,stress
13.43,stress
22.78,stress
31.84,stress
39.53,stress
44.78,stress
47.01,stress
46.34,stress
43.66,stress
40.38,stress
37.86,stress
36.93,stress
37.5,stress
38.78,stress
39.73,stress
39.62,stress
38.47,stress
37.02,stress
36.29,stress
36.96,stress
38.86,stress
40.9,stress
41.47,stress
39.06,stress
32.9,stress
23.28,stress
11.5,stress
2.64,stress
12.41,stress
21.34,stress
28.54,stress
33.37,stress
35.54,stress
34.96,stress
31.82,stress
26.52,stress
19.74,stress
12.32,stress
5.19,stress
0.71,stress
1.54,stress
2.9,stress
4.93,stress
7.32,stress
9.42,stress
10.5,stress
10.16,stress
8.46,stress
5.93,stress
3.22,stress
0.88,stress
1.38,stress
6.57,stress
11.09,stress
14.0,stress
15.01,stress
14.52,stress
13.36,stress
12.25,stress
11.45,stress
10.55,stress
8.64,stress
4.69,stress
0.94,stress
4.03,stress
7.5,stress
11.36,stress
15.09,stress
17.79,stress
18.59,stress
17.1,stress
13.64,stress
9.22,stress
5.04,stress
2.09,stress
0.72,stress
0.64,stress
1.08,stress
1.28,stress
0.78,stress
1.59,stress
3.41,stress
4.23,stress
3.63,stress
1.62,stress
1.84,stress
5.56,stress
9.01,stress
11.8,stress
13.69,stress
14.68,stress
15.11,stress
15.47,stress
16.21,stress
17.44,stress
18.96,stress
20.32,stress
21.14,stress
21.24,stress
20.63,stress
19.41,stress
17.63,stress
15.29,stress
12.46,stress
9.4,stress
6.46,stress
3.93,stress
1.87,stress
2.7,stress
5.94,stress
8.26,stress
9.13,stress
8.41,stress
6.41,stress
3.83,stress
1.54,stress
1.08,stress
2.42,stress
3.41,stress
3.5,stress
2.58,stress
0.91,stress
1.48,stress
5.06,stress
9.02,stress
12.84,stress
16.1,stress
18.73,stress
21.0,stress
23.34,stress
26.11,stress
29.33,stress
32.65,stress
35.47,stress
37.2,stress
37.52,stress
36.33,stress
33.72,stress
29.77,stress
24.37,stress
17.46,stress
9.19,stress
0.81,stress
3.97,stress
8.42,stress
14.5,stress
21.6,stress
28.27,stress
32.68,stress
33.41,stress
29.98,stress
22.99,stress
13.83,stress
4.09,stress
12.09,stress
25.45,stress
35.45,stress
39.14,stress
35.56,stress
26.23,stress
14.46,stress
3.96,stress
3.38,stress
7.71,stress
12.44,stress
16.93,stress
20.74,stress
23.71,stress
25.85,stress
27.22,stress
27.84,stress
27.63,stress
26.47,stress
24.22,stress
20.83,stress
16.39,stress
11.2,stress
5.77,stress
0.69,stress
3.04,stress
6.6,stress
9.45,stress
11.56,stress
12.91,stress
13.56,stress
13.64,stress
13.41,stress
13.22,stress
13.38,stress
14.0,stress
15.0,stress
16.14,stress
17.11,stress
17.69,stress
17.84,stress
17.62,stress
17.24,stress
16.83,stress
16.43,stress
15.99,stress
15.38,stress
14.56,stress
13.63,stress
12.87,stress
12.59,stress
12.99,stress
14.02,stress
15.33,stress
16.46,stress
17.11,stress
17.34,stress
17.69,stress
18.99,stress
22.0,stress
27.07,stress
33.94,stress
41.85,stress
49.83,stress
57.1,stress
63.29,stress
68.44,stress
72.85,stress
76.9,stress
81.0,stress
85.48,stress
90.6,stress
