A,label
0.66,stress
1.01,stress
1.37,stress
1.72,stress
2.06,stress
2.4,stress
2.79,stress
3.24,stress
3.8,stress
4.42,stress
5.06,stress
5.66,stress
6.2,stress
6.68,stress
7.15,stress
7.68,stress
8.31,stress
9.14,stress
10.09,stress
11.04,stress
11.88,stress
12.56,stress
13.14,stress
13.76,stress
14.65,stress
15.96,stress
17.91,stress
20.32,stress
22.9,stress
25.38,stress
27.58,stress
29.57,stress
31.68,stress
34.32,stress
37.81,stress
42.54,stress
48.15,stress
54.1,stress
59.83,stress
64.97,stress
69.58,stress
74.14,stress
79.34,stress
85.71,stress
93.76,stress
103.0,stress
112.62,stress
121.73,stress
129.77,stress
136.75,stress
143.3,stress
150.75,stress
157.77,stress
166.64,stress
177.95,stress
191.79,stress
206.97,stress
220.57,stress
228.25,stress
225.36,stress
208.53,stress
176.87,stress
132.76,stress
80.05,stress
23.07,stress
35.58,stress
71.43,stress
101.35,stress
125.5,stress
144.38,stress
158.69,stress
169.15,stress
176.37,stress
180.75,stress
182.57,stress
182.07,stress
179.51,stress
175.23,stress
169.65,stress
163.18,stress
156.15,stress
148.81,stress
141.3,stress
133.69,stress
126.02,stress
118.33,stress
110.69,stress
103.16,stress
95.8,stress
88.68,stress
81.83,stress
75.25,stress
68.95,stress
62.95,stress
57.25,stress
51.86,stress
46.78,stress
42.03,stress
37.59,stress
33.45,stress
29.61,stress
26.07,stress
22.81,stress
19.83,stress
17.11,stress
14.67,stress
12.48,stress
10.54,stress
8.83,stress
7.35,stress
6.07,stress
4.97,stress
4.05,stress
3.27,stress
2.62,stress
2.09,stress
1.65,stress
1.3,stress
1.01,stress
0.79,stress
0.61,stress
0.55,stress
0.61,stress
0.66,stress
0.71,stress
0.78,stress
0.84,stress
0.91,stress
1.0,stress
1.08,stress
1.17,stress
1.28,stress
1.4,stress
1.55,stress
1.72,stress
1.91,stress
2.1,stress
2.29,stress
2.45,stress
2.61,stress
2.77,stress
2.97,stress
3.24,stress
3.59,stress
4.01,stress
4.47,stress
4.94,stress
5.4,stress
5.86,stress
6.33,stress
6.85,stress
7.47,stress
8.19,stress
9.0,stress
9.85,stress
10.66,stress
11.4,stress
12.09,stress
12.78,stress
13.57,stress
14.56,stress
15.76,stress
17.1,stress
18.42,stress
19.52,stress
20.22,stress
20.46,stress
20.26,stress
19.73,stress
18.97,stress
17.94,stress
16.46,stress
14.2,stress
10.85,stress
6.22,stress
13.92,stress
26.47,stress
33.1,stress
34.71,stress
33.36,stress
31.09,stress
29.04,stress
27.27,stress
25.39,stress
23.14,stress
20.83,stress
19.06,stress
18.27,stress
18.34,stress
18.67,stress
18.5,stress
17.24,stress
14.94,stress
12.11,stress
9.46,stress
7.6,stress
6.72,stress
6.57,stress
6.64,stress
6.39,stress
5.46,stress
3.89,stress
1.97,stress
2.27,stress
3.79,stress
4.81,stress
5.4,stress
5.73,stress
5.94,stress
6.12,stress
6.19,stress
6.13,stress
5.94,stress
5.73,stress
5.63,stress
5.76,stress
6.08,stress
6.48,stress
6.8,stress
6.87,stress
6.69,stress
6.33,stress
5.95,stress
5.67,stress
5.49,stress
5.38,stress
5.22,stress
4.93,stress
4.5,stress
4.0,stress
3.49,stress
2.99,stress
2.49,stress
1.86,stress
1.04,stress
0.85,stress
2.42,stress
3.59,stress
4.28,stress
4.45,stress
4.24,stress
3.84,stress
3.53,stress
3.48,stress
3.72,stress
4.2,stress
4.76,stress
5.24,stress
5.55,stress
5.66,stress
5.61,stress
5.43,stress
5.15,stress
4.79,stress
4.37,stress
3.98,stress
3.69,stress
3.55,stress
3.54,stress
3.57,stress
3.52,stress
3.3,stress
2.8,stress
1.98,stress
0.79,stress
0.86,stress
2.38,stress
3.07,stress
3.19,stress
3.1,stress
3.23,stress
3.8,stress
4.8,stress
6.05,stress
7.27,stress
8.28,stress
9.01,stress
9.49,stress
9.81,stress
9.95,stress
9.87,stress
9.44,stress
8.62,stress
7.43,stress
6.05,stress
4.7,stress
3.57,stress
2.79,stress
2.29,stress
1.9,stress
1.38,stress
0.58,stress
1.73,stress
3.07,stress
3.71,stress
3.76,stress
3.44,stress
2.98,stress
2.65,stress
2.7,stress
3.23,stress
4.26,stress
5.57,stress
6.88,stress
7.89,stress
8.4,stress
8.37,stress
7.9,stress
7.21,stress
6.44,stress
5.75,stress
5.13,stress
4.58,stress
4.06,stress
3.56,stress
3.07,stress
2.54,stress
1.89,stress
0.99,stress
0.67,stress
2.8,stress
4.42,stress
5.59,stress
6.43,stress
7.0,stress
7.3,stress
7.3,stress
7.08,stress
6.82,stress
6.69,stress
6.85,stress
7.25,stress
7.77,stress
8.2,stress
8.48,stress
8.57,stress
8.5,stress
8.31,stress
7.98,stress
7.54,stress
7.03,stress
6.57,stress
6.23,stress
5.99,stress
5.73,stress
5.25,stress
4.36,stress
2.96,stress
1.12,stress
0.61,stress
2.12,stress
3.4,stress
4.42,stress
5.22,stress
5.77,stress
6.05,stress
6.04,stress
5.84,stress
5.7,stress
5.88,stress
6.6,stress
7.83,stress
9.29,stress
10.51,stress
11.09,stress
10.78,stress
9.69,stress
8.15,stress
6.59,stress
5.4,stress
4.7,stress
4.43,stress
4.28,stress
4.01,stress
3.4,stress
2.45,stress
1.24,stress
1.39,stress
2.29,stress
2.56,stress
2.58,stress
2.69,stress
3.01,stress
3.54,stress
4.23,stress
5.07,stress
6.04,stress
7.08,stress
8.02,stress
8.64,stress
8.74,stress
8.28,stress
7.45,stress
6.64,stress
6.24,stress
6.5,stress
7.3,stress
8.21,stress
8.63,stress
8.13,stress
6.61,stress
4.41,stress
2.1,stress
0.87,stress
1.11,stress
0.93,stress
0.64,stress
0.65,stress
0.75,stress
0.62,stress
12.95,stress
30.74,stress
47.38,stress
61.96,stress
74.55,stress
85.76,stress
96.18,stress
105.8,stress
113.96,stress
119.67,stress
122.27,stress
121.85,stress
119.23,stress
115.55,stress
111.72,stress
108.12,stress
104.62,stress
101.0,stress
97.24,stress
93.69,stress
90.77,stress
88.55,stress
86.52,stress
83.61,stress
78.74,stress
71.25,stress
61.33,stress
50.04,stress
38.95,stress
29.64,stress
23.15,stress
19.79,stress
19.13,stress
20.28,stress
22.15,stress
23.86,stress
24.9,stress
25.25,stress
25.41,stress
26.12,stress
28.25,stress
32.28,stress
38.09,stress
44.76,stress
50.75,stress
54.23,stress
53.73,stress
48.69,stress
39.67,stress
28.4,stress
17.25,stress
8.56,stress
4.14,stress
4.7,stress
9.91,stress
18.44,stress
28.48,stress
38.22,stress
46.36,stress
52.5,stress
57.09,stress
61.23,stress
66.03,stress
72.12,stress
79.24,stress
86.33,stress
92.0,stress
95.1,stress
95.23,stress
92.68,stress
88.19,stress
82.35,stress
75.3,stress
66.55,stress
55.32,stress
40.98,stress
23.31,stress
2.51,stress
1.86,stress
3.58,stress
4.33,stress
4.75,stress
5.0,stress
4.63,stress
2.84,stress
4.94,stress
17.53,stress
27.41,stress
33.24,stress
35.15,stress
34.42,stress
32.79,stress
31.56,stress
31.13,stress
31.09,stress
30.55,stress
28.73,stress
25.22,stress
20.21,stress
14.32,stress
8.46,stress
3.62,stress
0.57,stress
0.58,stress
2.62,stress
4.79,stress
6.23,stress
6.41,stress
5.09,stress
2.19,stress
6.14,stress
